	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50
org1	3394	2419	4125	9067	108	6320	3302	7700	9358	1670	8588	1330	5067	6981	7927	7759	3308	8720	3069	580	9076	2016	3093	884	8120	4047	2642	8621	9859	4519	8355	4367	2690	7922	4179	247	8661	6735	2076	2405	8122	7193	7920	1153	3341	180	2990	7403	8677	7760
org2	8799	7204	8360	637	1067	8550	5410	7295	357	5971	7227	6783	6560	365	685	5027	5335	1653	9482	4442	1063	2718	4481	7738	1478	4224	2847	5360	5812	756	6555	6453	1620	2289	9710	9570	4269	5753	7086	107	1298	4390	4835	2721	7828	6704	3248	4145	2167	176
org3	6192	6598	6319	5166	4557	2139	3839	7474	9005	2567	1635	8519	4062	2487	8314	1132	7531	67	6487	8810	3697	7756	3890	2661	3125	6296	7774	9218	6550	1477	9693	6020	5175	4691	8574	5306	100	7744	690	4427	3837	78	5117	7547	6037	384	4594	7832	7165	5135
org4	7854	2351	9309	6124	7197	4018	3469	1597	1308	2237	8673	4044	1584	2589	1530	4218	5594	5273	2310	6660	5004	6232	8448	6645	8331	1557	173	415	8462	9537	4411	2246	4523	7199	5084	42	9121	827	1025	44	1336	7894	6495	9626	9776	7838	233	6493	6547	6797
org5	1012	8147	8689	7788	5768	4372	6141	9007	5208	9387	4626	332	7145	9793	3921	4352	6101	8542	9901	4967	2484	9890	8953	8038	8364	3563	2053	6546	2563	4902	383	5793	103	4648	2437	6071	9224	550	5969	698	4628	225	1009	947	4488	52	3521	5055	7126	5156
org6	717	7451	9421	333	164	5822	2244	687	664	912	2092	6431	280	6631	2894	7	9512	4435	9508	3421	1859	3635	6174	6644	3911	6058	5195	5194	4610	86	2191	5893	8542	7221	6392	1852	4905	11	6575	2508	5218	2659	7702	8473	1215	3015	837	4266	6146	1105
org7	8879	906	404	1921	5216	2114	9133	2024	7989	9234	8250	9196	8694	2882	1433	4259	796	4804	9507	8577	7136	2412	2372	5419	8872	8275	3676	3753	7138	9949	8578	7308	3194	8750	9688	5978	7744	6281	1779	787	2439	8012	201	8391	5328	1630	6509	9602	8920	7453
org8	5915	258	4382	9046	6781	1716	9417	8222	9144	6945	9028	3463	6002	7313	6842	3530	97	5774	5703	524	8150	2436	3626	8848	3775	4758	100	7357	2069	4946	1	346	4221	2523	5170	9905	1103	2177	7375	9324	6491	5182	7576	5694	3949	8406	2639	5200	9193	8176
org9	8063	7377	3310	477	6633	6538	7759	715	8682	2285	8418	3022	2396	5238	4281	1391	2098	9886	2559	1792	5531	4498	1671	1067	1516	4952	8933	9891	8860	8562	6360	3655	7659	5662	9303	6667	9519	5035	9608	7274	7481	9443	7726	62	9710	368	5767	8449	1151	1172
org10	4504	4716	994	3506	280	8624	1805	8340	1301	1802	308	1065	7679	9098	5646	6333	295	8773	8913	402	1080	9286	2429	823	5951	9784	7020	2744	294	6248	201	9456	2951	4994	6981	8934	6283	3236	4141	9097	5085	7408	4382	6834	4318	7482	6898	2407	5622	1977
org11	3297	7880	8774	7706	1512	2031	304	45	594	6964	2245	7117	9895	4695	5596	8561	2828	1577	6008	8449	7162	2736	1796	5027	6469	542	650	2500	7810	4203	8619	7628	7743	1819	8495	8266	1866	7230	5754	4301	4071	9226	2449	3599	4616	1185	6013	4635	2185	8864
org12	7629	7778	35	5452	7528	4066	7803	3588	2963	4793	6911	1345	8977	8228	8302	9162	2578	9358	9804	6517	4234	393	7291	7583	2930	408	6019	8430	3969	6544	3846	1247	9646	1011	6300	4243	393	7839	9433	9833	6763	5746	5121	6367	481	8234	8868	4940	149	2776
